client\scripts\generate-icons.js:1	<no-rule-id>	Unused eslint-disable directive (no problems were reported from 'no-undef').
client\src\components\analytics\DeviceBrowserIcons.tsx:11	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\components\analytics\DeviceBrowserIcons.tsx:116	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\components\analytics\DeviceBrowserIcons.tsx:162	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\components\chat\AttachmentDisplay.tsx:25	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\components\chat\BulkActionToolbar.tsx:10	@typescript-eslint/no-unused-vars	'CheckCircle' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\chat\CannedResponsesManager.tsx:49	react-hooks/exhaustive-deps	React Hook useEffect has missing dependencies: 'fetchLabels' and 'fetchResponses'. Either include them or remove the dependency array.
client\src\components\chat\ChatComposer.tsx:6	@typescript-eslint/no-unused-vars	'Loader2' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\chat\ChatComposer.tsx:97	@typescript-eslint/no-unused-vars	'onCancelSend' is defined but never used. Allowed unused args must match /^_/u.
client\src\components\chat\ChatComposer.tsx:98	@typescript-eslint/no-unused-vars	'UNDO_DELAY_MS' is defined but never used. Allowed unused args must match /^_/u.
client\src\components\chat\ChatHeader.tsx:64	react-hooks/preserve-manual-memoization	Compilation Skipped: Existing memoization could not be preserved  React Compiler has skipped optimizing this component because the existing manual memoization could not be preserved. The inferred dependencies did not match the manually specified dependencies, which could cause the value to change more or less frequently than expected. The inferred dependency was `setShowActionsMenu`, but the source dependencies were []. Inferred dependency not present in source.  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\chat\ChatHeader.tsx:64:21   62 |     // Close dropdowns on outside click   63 |     const actionsMenuRef = useClickOutside<HTMLDivElement>( > 64 |         useCallback(() => setShowActionsMenu(false), []),      |                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ Could not preserve existing manual memoization   65 |         showActionsMenu   66 |     );   67 |     const moreMenuRef = useClickOutside<HTMLDivElement>(
client\src\components\chat\ChatHeader.tsx:68	react-hooks/preserve-manual-memoization	Compilation Skipped: Existing memoization could not be preserved  React Compiler has skipped optimizing this component because the existing manual memoization could not be preserved. The inferred dependencies did not match the manually specified dependencies, which could cause the value to change more or less frequently than expected. The inferred dependency was `setShowMoreMenu`, but the source dependencies were []. Inferred dependency not present in source.  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\chat\ChatHeader.tsx:68:21   66 |     );   67 |     const moreMenuRef = useClickOutside<HTMLDivElement>( > 68 |         useCallback(() => setShowMoreMenu(false), []),      |                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^ Could not preserve existing manual memoization   69 |         showMoreMenu   70 |     );   71 |
client\src\components\chat\ChatHeader.tsx:105	@typescript-eslint/no-unused-vars	'i' is defined but never used. Allowed unused args must match /^_/u.
client\src\components\chat\ChatWindow.tsx:6	@typescript-eslint/no-unused-vars	'useCallback' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\chat\ChatWindow.tsx:8	@typescript-eslint/no-unused-vars	'Logger' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\chat\ChatWindow.tsx:110	@typescript-eslint/no-unused-vars	'setShowCanned' is defined but never used. Allowed unused args must match /^_/u.
client\src\components\chat\LabelSelector.tsx:59	react-hooks/exhaustive-deps	React Hook useEffect has missing dependencies: 'allLabels.length' and 'fetchLabels'. Either include them or remove the dependency array.
client\src\components\chat\MacrosDropdown.tsx:34	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchMacros'. Either include it or remove the dependency array.
client\src\components\chat\RecipientList.tsx:147	@typescript-eslint/no-unused-vars	'visibleRecipients' is assigned a value but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\chat\SchedulePickerModal.tsx:83	react-hooks/purity	Error: Cannot call impure function during render  `Date.now` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent).  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\chat\SchedulePickerModal.tsx:83:34   81 |     // Memoize minimum date calculation to avoid impure Date.now() call during render   82 |     const { minDateString } = useMemo(() => { > 83 |         const minDate = new Date(Date.now() + 5 * 60 * 1000);      |                                  ^^^^^^^^^^ Cannot call impure function   84 |         return {   85 |             minDateString: minDate.toISOString().split('T')[0],   86 |         };
client\src\components\common\RichTextEditor\plugins\ToolbarPlugin.tsx:18	@typescript-eslint/no-unused-vars	'$isListNode' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\customers\MergeCustomerModal.tsx:5	@typescript-eslint/no-unused-vars	'X' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\customers\MergeCustomerModal.tsx:42	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchDuplicates'. Either include it or remove the dependency array.
client\src\components\inventory\POStatusStepper.tsx:7	@typescript-eslint/no-unused-vars	'Truck' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\inventory\SuppliersList.tsx:56	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchSuppliers'. Either include it or remove the dependency array.
